MarketID,WeekStart,Product,DemandUnits,SellingPricePerUnit
M057,2025-01-27,SKU_D,226,71.84
M071,2025-03-10,SKU_D,164,51.52
M058,2025-01-13,SKU_D,567,45.3
M100,2025-04-28,SKU_C,268,76.93
M074,2025-01-13,SKU_B,604,65.08
M055,2025-02-24,SKU_B,211,69.97
M017,2025-04-14,SKU_D,543,62.03
M070,2025-01-06,SKU_C,255,55.48
M073,2025-03-17,SKU_E,454,56.57
M083,2025-01-20,SKU_B,338,70.97
M036,2025-02-24,SKU_D,275,59.91
M076,2025-03-17,SKU_D,541,40.95
M045,2025-02-03,SKU_A,619,65.16
M059,2025-01-06,SKU_A,306,55.78
M093,2025-04-21,SKU_C,449,44.77
M056,2025-04-14,SKU_E,665,69.44
M005,2025-05-05,SKU_A,378,46.93
M007,2025-01-13,SKU_E,532,77.02
M081,2025-04-28,SKU_C,682,66.6
M082,2025-03-10,SKU_D,527,77.21
M056,2025-05-12,SKU_E,437,68.55
M030,2025-01-06,SKU_D,311,58.43
M018,2025-04-07,SKU_A,513,50.67
M072,2025-02-17,SKU_B,670,57.15
M080,2025-01-06,SKU_E,361,53.83
M047,2025-02-03,SKU_E,470,68.92
M041,2025-05-05,SKU_A,352,73.93
M089,2025-02-10,SKU_C,339,45.8
M062,2025-05-05,SKU_C,656,58.42
M077,2025-03-10,SKU_A,527,61.55
M055,2025-03-10,SKU_B,243,64.39
M090,2025-01-13,SKU_B,334,57.47
M061,2025-03-17,SKU_D,424,40.67
M068,2025-05-19,SKU_E,159,40.5
M087,2025-03-17,SKU_D,286,55.24
M041,2025-04-21,SKU_A,328,72.58
M040,2025-01-06,SKU_D,537,79.56
M072,2025-03-24,SKU_A,745,62.24
M084,2025-04-21,SKU_E,608,46.89
M069,2025-02-17,SKU_D,633,72.02
M029,2025-01-27,SKU_A,420,69.43
M052,2025-02-03,SKU_A,181,60.49
M057,2025-05-12,SKU_E,313,68.78
M025,2025-04-14,SKU_C,193,51.47
M005,2025-03-03,SKU_C,319,42.76
M048,2025-01-06,SKU_A,587,47.01
M073,2025-03-03,SKU_D,547,55.82
M047,2025-03-24,SKU_D,452,72.45
M013,2025-02-10,SKU_A,523,58.15
M068,2025-05-12,SKU_B,228,39.79
M091,2025-03-03,SKU_C,357,73.78
M013,2025-03-03,SKU_D,440,60.93
M100,2025-04-07,SKU_B,287,80.56
M085,2025-01-27,SKU_B,441,65.5
M001,2025-03-10,SKU_E,365,62.69
M003,2025-05-19,SKU_B,657,65.78
M011,2025-04-14,SKU_A,246,79.25
M082,2025-02-03,SKU_D,585,80.91
M026,2025-02-24,SKU_E,434,52.46
M078,2025-03-24,SKU_D,207,60.6
M026,2025-02-10,SKU_B,482,56.47
M068,2025-04-07,SKU_B,249,41.24
M088,2025-05-19,SKU_E,169,62.73
M049,2025-05-19,SKU_B,682,77.34
M061,2025-01-13,SKU_C,311,41.39
M060,2025-01-06,SKU_E,354,60.69
M056,2025-02-10,SKU_A,572,68.41
M092,2025-02-17,SKU_B,364,63.31
M078,2025-02-24,SKU_D,285,65.68
M093,2025-02-24,SKU_C,441,39.06
M028,2025-05-12,SKU_E,496,41.94
M048,2025-05-19,SKU_E,378,43.42
M047,2025-01-13,SKU_A,559,68.74
M001,2025-05-19,SKU_C,587,66.93
M072,2025-04-21,SKU_B,629,57.32
M058,2025-02-24,SKU_E,416,47.05
M042,2025-04-28,SKU_E,450,66.2
M055,2025-05-05,SKU_C,174,69.85
M058,2025-04-14,SKU_B,544,46.94
M070,2025-01-20,SKU_D,179,58.41
M092,2025-02-17,SKU_B,364,63.31
M069,2025-03-17,SKU_D,393,74.04
M032,2025-02-24,SKU_A,619,49.27
M033,2025-01-13,SKU_C,233,45.76
M014,2025-05-05,SKU_A,162,66.1
M076,2025-01-27,SKU_B,592,40.57
M074,2025-04-21,SKU_A,373,65.21
M022,2025-04-14,SKU_A,394,71.53
M075,2025-04-28,SKU_B,193,41.67
M076,2025-04-28,SKU_D,482,40.48
M072,2025-02-03,SKU_A,533,60.76
M003,2025-05-19,SKU_D,410,61.47
M057,2025-04-28,SKU_A,256,67.84
M006,2025-03-10,SKU_D,308,56.78
M006,2025-02-17,SKU_E,348,54.6
M042,2025-01-27,SKU_A,416,66.67
M094,2025-01-20,SKU_B,427,51.35
M020,2025-02-24,SKU_C,459,57.26
M032,2025-01-27,SKU_C,369,52.38
M022,2025-05-19,SKU_C,260,72.54
M005,2025-02-03,SKU_A,361,41.83
M031,2025-03-10,SKU_D,437,60.48
M057,2025-01-13,SKU_C,187,68.75
M072,2025-03-31,SKU_D,519,61.08
M066,2025-01-06,SKU_C,225,65.72
M033,2025-03-24,SKU_B,227,49.6
M008,2025-01-27,SKU_D,204,64.89
M040,2025-03-24,SKU_C,503,75.79
M032,2025-02-03,SKU_B,479,49.34
M032,2025-02-03,SKU_D,591,48.61
M081,2025-05-12,SKU_B,638,65.1
M023,2025-03-03,SKU_D,241,43.94
M073,2025-03-10,SKU_C,445,55.31
M050,2025-05-12,SKU_E,392,74.0
M044,2025-03-24,SKU_C,432,74.39
M074,2025-01-06,SKU_B,493,63.05
M049,2025-01-27,SKU_D,536,73.51
M055,2025-04-07,SKU_E,261,69.32
M063,2025-04-28,SKU_E,333,41.66
M004,2025-05-12,SKU_A,375,45.16
M078,2025-05-12,SKU_D,213,62.29
M067,2025-03-31,SKU_B,479,40.5
M010,2025-01-20,SKU_C,462,54.56
M038,2025-04-28,SKU_B,239,58.02
M080,2025-05-05,SKU_D,373,53.98
M081,2025-03-24,SKU_B,427,64.67
M091,2025-02-03,SKU_C,335,74.49
M087,2025-01-06,SKU_C,163,54.46
M014,2025-03-31,SKU_D,168,68.44
M053,2025-03-10,SKU_A,629,50.13
M067,2025-05-12,SKU_C,499,42.55
M017,2025-04-21,SKU_E,483,60.06
M008,2025-02-10,SKU_A,328,62.66
M060,2025-01-20,SKU_A,431,62.2
M075,2025-02-24,SKU_D,188,43.13
M042,2025-03-31,SKU_A,362,69.66
M063,2025-02-17,SKU_B,349,45.49
M035,2025-02-17,SKU_A,640,76.6
M001,2025-05-19,SKU_B,568,62.1
M056,2025-02-03,SKU_E,676,65.73
M009,2025-03-24,SKU_D,707,49.17
M095,2025-02-03,SKU_E,321,64.6
M090,2025-04-07,SKU_B,397,59.71
M066,2025-04-07,SKU_B,315,67.07
M024,2025-01-06,SKU_B,226,50.91
M035,2025-01-20,SKU_D,515,76.3
M002,2025-01-13,SKU_A,289,55.81
M048,2025-04-14,SKU_C,555,44.46
M032,2025-04-21,SKU_B,635,52.2
M049,2025-01-27,SKU_E,660,75.46
M039,2025-05-12,SKU_E,563,52.13
M029,2025-01-20,SKU_C,382,69.28
M061,2025-03-17,SKU_A,516,42.03
M027,2025-04-28,SKU_C,350,56.13
M016,2025-02-17,SKU_B,193,49.95
M080,2025-02-24,SKU_A,261,51.98
M078,2025-05-12,SKU_B,269,65.87
M002,2025-05-12,SKU_A,239,57.02
M100,2025-05-05,SKU_A,192,77.04
M092,2025-02-24,SKU_E,311,60.3
M079,2025-02-24,SKU_B,541,48.46
M039,2025-03-31,SKU_D,556,47.98
M058,2025-05-19,SKU_B,386,46.63
M011,2025-01-20,SKU_D,205,77.13
M065,2025-04-28,SKU_B,541,53.26
M013,2025-02-17,SKU_E,494,62.79
M001,2025-05-12,SKU_C,417,66.55
M078,2025-04-14,SKU_B,311,60.54
M066,2025-01-13,SKU_B,288,69.43
M071,2025-04-21,SKU_D,289,52.83
M037,2025-03-24,SKU_D,285,69.85
M011,2025-03-24,SKU_C,192,76.47
M061,2025-01-27,SKU_D,339,40.01
M020,2025-04-21,SKU_E,741,61.57
M056,2025-03-03,SKU_C,638,69.43
M080,2025-01-06,SKU_E,361,53.83
M053,2025-03-10,SKU_C,380,49.87
M036,2025-03-03,SKU_B,208,62.42
M031,2025-02-03,SKU_A,316,61.56
M091,2025-05-05,SKU_B,271,73.33
M026,2025-04-21,SKU_E,558,55.71
M100,2025-01-13,SKU_E,293,81.51
M068,2025-02-24,SKU_D,208,43.94
M066,2025-05-05,SKU_B,296,65.97
M075,2025-03-17,SKU_B,147,41.04
M089,2025-05-12,SKU_A,371,43.32
M029,2025-04-21,SKU_B,261,67.55
M096,2025-01-27,SKU_E,712,62.36
M076,2025-01-06,SKU_A,524,42.72
M064,2025-02-17,SKU_D,471,45.42
M078,2025-04-21,SKU_D,226,64.29
M090,2025-04-28,SKU_D,392,55.27
M039,2025-04-14,SKU_B,482,51.7
M063,2025-02-10,SKU_A,301,41.45
M059,2025-03-10,SKU_E,300,54.62
M054,2025-02-03,SKU_B,208,60.52
M091,2025-05-05,SKU_D,297,73.69
M076,2025-02-24,SKU_B,551,41.42
M091,2025-05-19,SKU_D,456,77.39
M075,2025-02-17,SKU_C,237,43.87
M085,2025-02-03,SKU_B,309,66.61
M044,2025-03-03,SKU_B,300,75.35
M091,2025-03-31,SKU_E,321,78.84
M080,2025-04-14,SKU_B,325,51.12
M072,2025-01-27,SKU_D,707,61.35
M023,2025-03-24,SKU_A,160,43.57
M091,2025-01-13,SKU_E,333,76.92
M091,2025-04-07,SKU_D,281,79.26
M093,2025-04-07,SKU_A,298,39.17
M087,2025-01-13,SKU_A,171,55.11
M002,2025-03-31,SKU_C,311,53.8
M051,2025-03-10,SKU_B,521,61.49
M007,2025-02-17,SKU_A,444,75.24
M030,2025-03-24,SKU_B,486,59.53
M040,2025-02-03,SKU_D,479,77.68
M049,2025-03-31,SKU_A,639,75.13
M066,2025-05-12,SKU_E,360,71.32
M005,2025-01-27,SKU_A,242,41.34
M037,2025-01-27,SKU_E,355,71.84
M095,2025-04-07,SKU_D,280,64.79
M037,2025-04-14,SKU_E,288,70.97
M071,2025-03-17,SKU_A,302,51.42
M039,2025-01-06,SKU_D,646,47.51
M034,2025-02-10,SKU_B,579,42.6
M002,2025-04-14,SKU_A,427,57.56
M003,2025-05-19,SKU_E,558,61.54
M079,2025-03-03,SKU_D,450,47.14
M088,2025-03-10,SKU_B,203,62.63
M094,2025-01-13,SKU_E,354,52.3
M015,2025-04-14,SKU_C,506,71.89
M045,2025-05-05,SKU_A,632,69.12
M057,2025-03-03,SKU_D,304,67.76
M002,2025-01-13,SKU_B,354,55.03
M096,2025-03-17,SKU_D,393,63.86
M008,2025-02-03,SKU_C,344,67.23
M015,2025-04-14,SKU_D,450,71.06
M058,2025-01-27,SKU_D,613,45.15
M057,2025-01-20,SKU_E,179,72.07
M052,2025-01-13,SKU_A,272,63.32
M021,2025-02-10,SKU_D,500,71.97
M041,2025-04-07,SKU_C,386,70.17
M023,2025-05-05,SKU_B,183,43.53
M089,2025-01-27,SKU_A,416,44.77
M100,2025-03-03,SKU_C,208,78.99
M008,2025-05-19,SKU_C,371,65.16
M002,2025-03-10,SKU_C,282,59.0
M099,2025-05-19,SKU_C,413,54.26
M081,2025-02-17,SKU_A,488,66.18
M074,2025-05-19,SKU_B,512,62.22
M081,2025-02-17,SKU_E,417,62.32
M054,2025-05-19,SKU_C,169,57.76
M021,2025-04-21,SKU_A,436,73.09
M051,2025-04-21,SKU_A,537,63.18
M038,2025-05-05,SKU_A,189,59.45
M051,2025-02-17,SKU_C,402,64.41
M046,2025-05-12,SKU_B,646,70.83
M002,2025-05-19,SKU_B,351,57.1
M065,2025-01-20,SKU_D,471,54.39
M033,2025-05-05,SKU_C,207,46.38
M047,2025-02-10,SKU_E,604,70.64
M074,2025-05-05,SKU_B,411,65.73
M014,2025-03-31,SKU_A,238,70.35
M094,2025-03-31,SKU_B,534,54.1
M092,2025-02-10,SKU_A,355,63.9
M037,2025-03-17,SKU_E,294,70.06
M088,2025-03-31,SKU_B,172,59.26
M007,2025-02-24,SKU_D,461,74.82
M057,2025-03-31,SKU_B,206,70.44
M007,2025-05-05,SKU_C,720,73.22
M053,2025-04-28,SKU_C,415,50.92
M034,2025-03-17,SKU_A,536,39.79
M013,2025-04-28,SKU_A,634,61.98
M061,2025-02-24,SKU_D,335,38.67
M017,2025-05-12,SKU_A,718,58.9
M050,2025-05-12,SKU_C,564,73.91
M079,2025-03-24,SKU_E,490,48.19
M012,2025-04-21,SKU_A,163,79.77
M084,2025-04-28,SKU_D,437,44.99
M040,2025-05-19,SKU_B,310,75.23
M031,2025-02-03,SKU_E,344,57.87
M040,2025-01-20,SKU_D,349,75.79
M093,2025-01-06,SKU_C,388,40.94
M046,2025-02-10,SKU_B,501,70.98
M037,2025-05-19,SKU_E,365,67.83
M068,2025-01-20,SKU_A,165,42.67
M098,2025-04-21,SKU_B,653,81.28
M055,2025-02-10,SKU_C,234,68.56
M074,2025-01-06,SKU_D,519,61.09
M016,2025-05-05,SKU_C,176,51.96
M068,2025-03-31,SKU_A,200,39.09
M048,2025-02-17,SKU_C,493,46.51
M064,2025-02-24,SKU_A,619,45.25
M086,2025-01-20,SKU_C,665,44.76
M045,2025-04-21,SKU_B,460,64.04
M045,2025-04-07,SKU_E,376,68.54
M044,2025-03-03,SKU_D,310,77.92
M040,2025-03-24,SKU_E,499,74.94
M079,2025-03-24,SKU_C,489,44.16
M045,2025-02-10,SKU_C,650,66.21
M084,2025-02-24,SKU_B,724,46.92
M023,2025-01-20,SKU_E,166,41.84
M046,2025-02-10,SKU_B,501,70.98
M077,2025-04-14,SKU_B,479,58.47
M063,2025-01-06,SKU_D,291,46.64
M026,2025-05-05,SKU_A,560,54.61
M036,2025-05-05,SKU_B,295,59.93
M070,2025-01-20,SKU_A,259,58.59
M027,2025-02-17,SKU_B,260,55.83
M093,2025-02-10,SKU_A,289,44.35
M003,2025-04-07,SKU_B,608,63.54
M022,2025-01-06,SKU_C,284,73.67
M017,2025-02-17,SKU_B,456,61.67
M026,2025-03-31,SKU_E,580,54.77
M016,2025-01-06,SKU_D,312,47.74
M081,2025-02-24,SKU_D,615,66.4
M017,2025-05-12,SKU_A,718,58.9
M018,2025-02-24,SKU_D,519,47.01
M073,2025-03-10,SKU_B,444,54.14
M066,2025-02-10,SKU_C,313,67.52
M096,2025-04-21,SKU_B,535,60.56
M031,2025-05-05,SKU_B,406,59.49
M020,2025-01-13,SKU_A,405,59.2
M033,2025-01-27,SKU_B,235,46.74
M064,2025-05-19,SKU_D,463,47.16
M056,2025-05-19,SKU_A,724,69.02
M010,2025-05-12,SKU_C,400,50.52
M053,2025-02-17,SKU_E,578,54.56
M080,2025-03-17,SKU_A,443,49.36
M041,2025-03-03,SKU_E,293,74.37
M030,2025-05-05,SKU_A,349,62.53
M003,2025-03-24,SKU_A,451,63.99
M001,2025-04-14,SKU_D,559,62.97
M084,2025-03-31,SKU_A,596,47.78
M031,2025-03-31,SKU_A,408,59.4
M019,2025-05-05,SKU_E,438,82.37
M051,2025-03-24,SKU_D,521,63.71
M049,2025-03-10,SKU_B,452,75.69
M090,2025-03-24,SKU_D,420,56.36
M018,2025-03-17,SKU_A,446,50.44
M013,2025-04-14,SKU_B,422,61.31
M025,2025-03-03,SKU_D,200,52.05
M039,2025-01-06,SKU_A,568,52.18
M029,2025-02-17,SKU_B,277,69.82
M035,2025-01-20,SKU_B,640,81.29
M099,2025-01-27,SKU_E,399,58.13
M011,2025-03-10,SKU_E,255,77.18
M083,2025-05-12,SKU_C,407,66.28
M012,2025-05-19,SKU_C,270,77.93
M028,2025-03-31,SKU_A,417,39.61
M050,2025-03-31,SKU_A,680,79.25
M091,2025-05-12,SKU_C,435,74.35
M008,2025-04-28,SKU_A,269,65.34
M093,2025-02-24,SKU_E,399,44.51
M090,2025-03-10,SKU_B,432,55.1
M091,2025-03-17,SKU_A,401,74.83
M078,2025-02-03,SKU_B,296,62.69
M043,2025-03-10,SKU_B,374,71.0
M059,2025-04-21,SKU_A,400,53.73
M087,2025-02-24,SKU_A,208,50.85
M026,2025-05-05,SKU_C,438,56.14
M050,2025-01-06,SKU_C,394,77.97
M001,2025-02-03,SKU_E,519,62.04
M031,2025-04-07,SKU_D,270,57.67
M033,2025-02-10,SKU_B,272,45.94
M071,2025-01-06,SKU_E,261,53.49
M092,2025-01-27,SKU_E,254,63.39
M039,2025-02-10,SKU_A,736,51.45
M023,2025-04-14,SKU_C,262,40.35
M043,2025-03-31,SKU_D,426,71.82
M055,2025-01-27,SKU_E,285,66.47
M068,2025-04-28,SKU_B,157,42.25
M022,2025-04-28,SKU_B,431,75.02
M018,2025-03-24,SKU_E,453,47.11
M034,2025-02-17,SKU_E,510,42.76
M043,2025-03-03,SKU_A,399,70.88
M028,2025-01-13,SKU_D,399,40.82
M079,2025-04-28,SKU_B,611,45.04
M032,2025-04-28,SKU_E,563,48.49
M061,2025-03-03,SKU_D,407,43.69
M072,2025-02-03,SKU_A,533,60.76
M069,2025-05-12,SKU_B,628,70.98
M010,2025-04-14,SKU_A,293,50.07
M006,2025-05-05,SKU_D,340,57.91
M022,2025-03-24,SKU_D,305,73.99
M085,2025-04-07,SKU_D,403,63.94
M063,2025-03-10,SKU_C,239,46.92
M040,2025-05-12,SKU_A,565,79.59
M025,2025-02-24,SKU_C,252,47.51
M093,2025-03-03,SKU_E,515,38.98
M066,2025-01-27,SKU_C,369,66.02
M015,2025-03-10,SKU_E,470,72.0
M013,2025-04-14,SKU_A,403,59.66
M049,2025-03-10,SKU_C,391,74.82
M065,2025-03-10,SKU_B,461,58.09
M013,2025-03-24,SKU_D,467,58.06
M096,2025-05-12,SKU_D,401,60.51
M033,2025-05-19,SKU_B,252,45.88
M035,2025-02-17,SKU_C,656,80.55
M087,2025-03-03,SKU_B,234,54.03
M055,2025-05-19,SKU_D,227,64.49
M007,2025-03-24,SKU_C,466,74.35
M001,2025-02-10,SKU_A,340,66.81
M012,2025-02-03,SKU_C,201,74.87
M097,2025-04-07,SKU_B,348,66.99
M049,2025-03-03,SKU_C,585,75.28
M002,2025-02-24,SKU_B,274,57.71
M028,2025-03-17,SKU_E,404,43.72
M062,2025-05-19,SKU_C,583,58.92
M041,2025-03-17,SKU_E,496,72.29
M021,2025-05-05,SKU_B,604,76.11
M052,2025-02-10,SKU_A,212,60.91
M005,2025-01-27,SKU_B,258,44.93
M076,2025-03-31,SKU_C,532,39.04
M034,2025-04-07,SKU_E,415,41.42
M032,2025-04-28,SKU_E,563,48.49
M061,2025-02-24,SKU_E,426,40.06
M044,2025-01-20,SKU_A,270,74.72
M010,2025-02-10,SKU_C,412,53.03
M064,2025-01-13,SKU_E,624,43.61
M058,2025-04-07,SKU_C,501,44.77
M078,2025-03-03,SKU_A,312,61.45
M046,2025-05-05,SKU_A,654,71.54
M079,2025-02-24,SKU_A,690,43.88
M027,2025-05-12,SKU_E,227,56.19
M080,2025-02-03,SKU_A,437,51.14
M012,2025-02-24,SKU_D,165,79.16
M031,2025-04-21,SKU_D,321,61.48
M058,2025-04-14,SKU_C,633,46.05
M055,2025-04-14,SKU_A,190,69.44
M027,2025-04-21,SKU_C,320,53.53
M031,2025-03-17,SKU_A,406,57.98
M069,2025-05-12,SKU_D,383,73.06
M048,2025-04-07,SKU_E,358,46.03
M033,2025-02-17,SKU_D,208,50.55
M099,2025-03-17,SKU_B,577,57.58
M009,2025-04-07,SKU_E,743,46.74
M069,2025-02-10,SKU_E,444,76.06
M027,2025-04-07,SKU_A,207,51.59
M062,2025-05-19,SKU_A,407,54.82
M041,2025-04-28,SKU_E,349,70.99
M095,2025-02-24,SKU_C,365,68.03
M050,2025-02-10,SKU_D,393,75.98
M050,2025-05-19,SKU_A,702,75.67
M096,2025-03-03,SKU_B,391,62.43
M050,2025-05-05,SKU_A,631,77.03
M070,2025-01-27,SKU_E,174,57.62
M068,2025-04-21,SKU_B,226,41.0
M033,2025-02-24,SKU_D,156,48.38
M033,2025-05-19,SKU_C,233,46.2
M056,2025-01-13,SKU_B,556,65.55
M060,2025-01-27,SKU_C,424,61.64
M072,2025-01-27,SKU_C,418,57.73
M094,2025-02-24,SKU_E,484,52.83
M055,2025-05-19,SKU_C,245,66.74
M084,2025-05-19,SKU_D,701,45.3
M024,2025-02-24,SKU_C,240,49.39
M062,2025-05-12,SKU_C,518,59.94
M057,2025-02-03,SKU_B,225,69.84
M081,2025-01-13,SKU_D,661,63.93
M029,2025-04-28,SKU_B,453,67.69
M073,2025-01-13,SKU_E,478,56.66
M091,2025-03-10,SKU_B,329,75.16
M036,2025-01-27,SKU_C,184,60.14
M030,2025-03-17,SKU_A,400,58.76
M015,2025-03-03,SKU_E,303,72.35
M024,2025-01-27,SKU_C,377,51.12
M076,2025-05-19,SKU_C,561,39.1
M008,2025-01-06,SKU_C,310,65.92
M056,2025-01-13,SKU_B,556,65.55
M019,2025-01-06,SKU_C,410,81.77
M084,2025-03-03,SKU_D,521,47.73
M055,2025-05-12,SKU_C,156,70.1
M036,2025-02-24,SKU_E,198,61.36
M056,2025-01-06,SKU_C,505,64.73
M055,2025-03-17,SKU_E,159,66.46
M031,2025-01-13,SKU_B,350,62.04
M089,2025-03-31,SKU_A,498,46.16
M079,2025-05-12,SKU_A,583,45.49
M031,2025-01-20,SKU_A,408,58.63
M042,2025-02-10,SKU_D,365,67.63
M042,2025-01-06,SKU_B,392,67.36
M085,2025-01-27,SKU_C,392,65.56
M006,2025-03-31,SKU_B,512,58.4
M099,2025-03-10,SKU_E,544,58.26
M001,2025-02-10,SKU_E,392,63.62
M092,2025-04-28,SKU_A,285,64.78
M009,2025-01-27,SKU_D,415,50.11
M003,2025-02-10,SKU_D,620,64.96
M049,2025-02-03,SKU_C,493,76.11
M036,2025-05-12,SKU_A,291,61.87
M092,2025-05-12,SKU_D,411,61.16
M098,2025-04-21,SKU_E,612,77.75
M099,2025-03-24,SKU_A,585,53.36
M057,2025-03-10,SKU_D,171,67.53
M085,2025-05-12,SKU_C,315,63.15
M047,2025-01-06,SKU_D,555,69.4
M074,2025-03-03,SKU_E,574,63.79
M002,2025-04-21,SKU_D,416,56.62
M064,2025-05-05,SKU_E,432,43.72
M042,2025-03-10,SKU_E,378,65.7
M097,2025-05-12,SKU_A,320,67.65
M045,2025-05-12,SKU_C,523,67.65
M040,2025-02-10,SKU_D,416,74.79
M079,2025-02-10,SKU_E,589,46.42
M051,2025-05-19,SKU_B,566,60.06
M067,2025-01-13,SKU_C,515,44.6
M062,2025-05-19,SKU_E,481,56.87
M081,2025-02-17,SKU_D,676,66.9
M098,2025-02-03,SKU_D,422,78.03
M055,2025-04-14,SKU_D,231,69.27
M029,2025-02-10,SKU_D,259,70.05
M084,2025-02-10,SKU_C,447,44.92
M016,2025-01-20,SKU_D,187,47.32
M013,2025-02-24,SKU_D,624,57.91
M042,2025-02-03,SKU_C,385,65.58
M027,2025-02-17,SKU_D,307,51.68
M014,2025-01-27,SKU_D,219,65.27
M091,2025-04-14,SKU_B,252,78.61
M001,2025-03-24,SKU_A,421,63.73
M015,2025-04-28,SKU_D,375,74.9
M009,2025-04-21,SKU_D,548,48.21
M015,2025-01-27,SKU_D,451,75.28
M095,2025-02-17,SKU_C,236,66.73
M083,2025-02-17,SKU_E,459,66.04
M070,2025-03-24,SKU_A,166,55.18
M055,2025-02-03,SKU_E,286,66.93
M070,2025-03-31,SKU_E,203,53.77
M096,2025-03-31,SKU_C,430,63.6
M065,2025-04-28,SKU_E,521,53.05
M061,2025-01-06,SKU_C,450,40.16
M081,2025-05-19,SKU_B,657,63.76
M069,2025-02-24,SKU_C,395,71.53
M057,2025-02-10,SKU_E,261,71.42
M024,2025-03-17,SKU_B,331,48.06
M030,2025-04-28,SKU_E,356,60.92
M021,2025-01-27,SKU_C,639,72.28
M098,2025-04-14,SKU_A,636,78.22
M057,2025-02-24,SKU_A,249,70.93
M057,2025-03-10,SKU_D,171,67.53
M067,2025-03-24,SKU_D,729,40.88
M063,2025-01-27,SKU_B,284,41.95
M051,2025-05-05,SKU_D,447,61.5
M007,2025-05-12,SKU_D,501,75.52
M032,2025-01-20,SKU_B,551,49.08
M098,2025-04-21,SKU_E,612,77.75
M046,2025-04-21,SKU_D,588,75.44
M015,2025-03-24,SKU_D,390,70.96
M098,2025-05-05,SKU_A,587,78.41
M053,2025-02-17,SKU_B,465,55.34
M098,2025-05-12,SKU_C,627,76.94
M058,2025-03-24,SKU_D,504,48.56
M078,2025-05-12,SKU_B,269,65.87
M068,2025-03-10,SKU_B,219,39.3
M080,2025-01-27,SKU_D,445,49.27
M090,2025-03-24,SKU_D,420,56.36
M051,2025-03-31,SKU_D,364,62.56
M073,2025-05-05,SKU_A,607,55.18
M041,2025-04-21,SKU_D,279,73.72
M048,2025-03-17,SKU_C,440,46.0
M060,2025-03-03,SKU_A,525,57.89
M082,2025-02-24,SKU_E,455,82.1
M008,2025-03-31,SKU_A,359,64.2
M067,2025-02-10,SKU_C,698,43.09
M042,2025-01-13,SKU_E,545,66.91
M054,2025-02-17,SKU_A,225,57.61
M054,2025-05-19,SKU_A,188,60.07
M094,2025-05-12,SKU_D,492,53.79
M027,2025-04-21,SKU_E,320,52.65
M077,2025-02-24,SKU_C,367,58.09
M012,2025-05-19,SKU_D,255,76.52
M058,2025-03-24,SKU_E,444,48.09
M059,2025-02-24,SKU_B,456,58.27
M090,2025-04-28,SKU_D,392,55.27
M005,2025-01-13,SKU_E,256,46.03
M007,2025-02-10,SKU_D,625,74.27
M031,2025-04-21,SKU_B,301,59.64
M062,2025-01-13,SKU_C,686,54.72
M074,2025-01-06,SKU_E,469,63.64
M036,2025-05-05,SKU_C,295,61.3
M014,2025-02-24,SKU_C,233,67.02
M020,2025-02-10,SKU_B,452,61.39
