PlantID,WeekStart,Product,CapacityUnits,ProductionCostPerUnit
P058,2025-05-05,SKU_A,3042,19.06
P034,2025-01-06,SKU_C,2312,18.6
P023,2025-05-05,SKU_D,2664,26.0
P007,2025-05-12,SKU_A,2275,21.85
P061,2025-04-21,SKU_D,2493,17.4
P096,2025-01-27,SKU_B,1687,23.75
P089,2025-01-13,SKU_E,2419,21.81
P075,2025-02-03,SKU_E,2051,15.83
P016,2025-02-10,SKU_C,2419,18.75
P029,2025-02-17,SKU_C,2662,22.92
P048,2025-02-03,SKU_A,2813,27.2
P052,2025-04-14,SKU_B,1631,24.88
P050,2025-04-21,SKU_A,2510,31.3
P022,2025-04-14,SKU_B,2077,26.89
P045,2025-02-03,SKU_A,2788,18.0
P079,2025-04-14,SKU_B,3173,27.51
P037,2025-01-13,SKU_A,1728,19.42
P035,2025-03-17,SKU_C,2568,21.32
P053,2025-03-17,SKU_B,2669,29.56
P068,2025-02-10,SKU_C,2545,19.18
P049,2025-01-20,SKU_D,2747,15.58
P002,2025-03-03,SKU_D,2390,26.63
P047,2025-01-06,SKU_B,2085,16.24
P031,2025-01-06,SKU_C,1678,24.42
P072,2025-02-10,SKU_A,3022,18.27
P089,2025-01-27,SKU_D,2127,21.07
P059,2025-04-14,SKU_A,1669,30.02
P061,2025-03-10,SKU_A,2226,17.3
P016,2025-04-28,SKU_A,2257,19.03
P084,2025-03-03,SKU_C,2436,26.7
P025,2025-05-05,SKU_B,2066,28.12
P076,2025-01-06,SKU_A,2219,19.08
P045,2025-04-14,SKU_C,2520,18.17
P081,2025-05-12,SKU_A,1510,25.27
P020,2025-05-19,SKU_B,2433,26.94
P072,2025-01-20,SKU_B,3289,19.17
P049,2025-02-03,SKU_D,2553,13.86
P087,2025-01-27,SKU_A,2575,23.46
P089,2025-02-10,SKU_E,2301,19.62
P032,2025-01-27,SKU_A,2668,22.48
P056,2025-04-28,SKU_A,2482,21.79
P050,2025-04-21,SKU_D,2154,31.44
P090,2025-05-19,SKU_D,1960,23.61
P099,2025-01-27,SKU_E,2973,21.43
P007,2025-02-03,SKU_E,2379,22.96
P091,2025-02-10,SKU_E,2717,20.78
P059,2025-03-24,SKU_D,1768,28.92
P023,2025-01-27,SKU_E,2865,26.17
P078,2025-03-17,SKU_D,1339,28.57
P055,2025-02-10,SKU_D,1976,24.76
P007,2025-01-06,SKU_B,2825,20.65
P047,2025-02-24,SKU_A,2024,13.81
P021,2025-05-12,SKU_B,2146,18.1
P073,2025-05-19,SKU_A,2723,20.14
P088,2025-05-19,SKU_D,3372,19.89
P041,2025-03-31,SKU_E,1768,18.41
P087,2025-01-06,SKU_C,2825,22.22
P081,2025-02-03,SKU_A,2116,27.23
P088,2025-02-17,SKU_E,2598,16.99
P011,2025-05-05,SKU_D,2043,18.07
P012,2025-04-14,SKU_E,2353,17.61
P027,2025-03-24,SKU_D,1949,25.93
P080,2025-05-05,SKU_D,1923,20.45
P083,2025-03-31,SKU_C,2092,25.84
P089,2025-03-03,SKU_E,2809,21.41
P075,2025-03-31,SKU_D,1457,16.25
P023,2025-04-21,SKU_D,2876,27.32
P080,2025-01-27,SKU_E,2165,21.9
P013,2025-01-06,SKU_A,2551,19.52
P004,2025-01-27,SKU_C,1879,16.94
P026,2025-01-06,SKU_C,2277,16.88
P029,2025-02-10,SKU_E,2642,25.34
P033,2025-02-24,SKU_B,3001,24.45
P097,2025-04-07,SKU_B,2039,27.14
P079,2025-01-06,SKU_C,3003,28.2
P044,2025-03-10,SKU_A,1886,13.79
P076,2025-01-27,SKU_E,1945,19.58
P088,2025-03-24,SKU_C,3318,16.82
P030,2025-03-17,SKU_D,2439,27.92
P069,2025-02-10,SKU_A,2012,16.19
P097,2025-03-24,SKU_C,1617,26.95
P066,2025-01-13,SKU_E,1843,16.87
P029,2025-01-13,SKU_B,2798,24.03
P050,2025-03-10,SKU_B,2112,29.02
P002,2025-01-13,SKU_A,3192,27.43
P042,2025-02-17,SKU_C,2471,25.91
P073,2025-04-28,SKU_A,2480,19.88
P053,2025-04-21,SKU_D,2128,27.35
P064,2025-03-24,SKU_B,2579,16.3
P082,2025-02-03,SKU_B,2147,20.65
P090,2025-05-19,SKU_A,2033,22.19
P045,2025-02-17,SKU_D,3176,18.4
P085,2025-01-13,SKU_A,1612,28.31
P050,2025-03-03,SKU_E,2421,31.2
P029,2025-03-03,SKU_D,2615,22.78
P065,2025-04-14,SKU_C,2167,24.96
P067,2025-04-28,SKU_E,1749,19.93
P018,2025-03-31,SKU_D,2408,23.76
P066,2025-03-03,SKU_B,1511,16.77
P069,2025-04-28,SKU_E,1699,16.85
P052,2025-02-24,SKU_D,1906,25.23
P044,2025-02-03,SKU_B,1479,14.55
P071,2025-04-21,SKU_D,1895,28.54
P086,2025-01-20,SKU_B,2694,18.28
P026,2025-03-10,SKU_C,2549,15.8
P016,2025-04-28,SKU_C,1824,21.96
P076,2025-02-10,SKU_D,1808,16.46
P051,2025-05-19,SKU_A,2597,15.98
P043,2025-01-13,SKU_D,1991,22.9
P026,2025-03-24,SKU_E,2785,19.74
P090,2025-01-13,SKU_C,2119,22.58
P077,2025-01-20,SKU_A,1607,22.28
P099,2025-05-19,SKU_D,3114,19.57
P049,2025-05-12,SKU_A,3426,16.58
P071,2025-03-31,SKU_B,2484,31.19
P016,2025-05-12,SKU_E,2049,20.44
P062,2025-01-13,SKU_D,1877,26.26
P037,2025-02-03,SKU_B,1921,21.99
P072,2025-03-10,SKU_A,3126,17.67
P054,2025-03-17,SKU_E,1894,30.46
P019,2025-01-06,SKU_D,2610,18.92
P061,2025-02-24,SKU_D,3046,15.65
P026,2025-04-07,SKU_B,2253,16.96
P038,2025-02-10,SKU_B,1382,21.75
P022,2025-03-10,SKU_D,2191,26.96
P045,2025-02-24,SKU_E,2594,15.98
P023,2025-03-17,SKU_B,2573,26.81
P004,2025-04-21,SKU_E,2079,19.14
P026,2025-05-12,SKU_C,2438,18.45
P078,2025-05-12,SKU_A,1258,30.13
P069,2025-02-17,SKU_D,1627,17.26
P061,2025-01-20,SKU_A,2336,14.77
P063,2025-04-14,SKU_C,2530,27.33
P038,2025-02-17,SKU_E,1543,21.96
P053,2025-01-27,SKU_C,2762,28.79
P099,2025-05-12,SKU_C,3167,21.33
P071,2025-03-24,SKU_D,2559,31.55
P029,2025-03-03,SKU_D,2615,22.78
P099,2025-02-17,SKU_A,2494,22.65
P098,2025-01-20,SKU_E,2001,17.98
P049,2025-02-17,SKU_A,3331,16.1
P009,2025-01-27,SKU_D,2478,17.22
P009,2025-01-20,SKU_E,2511,19.01
P006,2025-01-27,SKU_E,3124,22.7
P017,2025-05-12,SKU_D,2375,20.58
P091,2025-05-19,SKU_E,2097,18.93
P056,2025-04-07,SKU_A,2572,19.68
P082,2025-05-05,SKU_C,2718,20.21
P093,2025-01-20,SKU_A,2711,23.87
P100,2025-05-19,SKU_D,1718,24.18
P053,2025-03-24,SKU_B,2108,27.89
P010,2025-03-03,SKU_E,2519,21.26
P066,2025-05-12,SKU_E,1458,15.76
P008,2025-02-17,SKU_C,2051,15.6
P089,2025-05-19,SKU_B,2637,20.85
P028,2025-05-12,SKU_B,1891,22.99
P048,2025-03-17,SKU_D,2836,25.15
P087,2025-01-13,SKU_E,3080,22.5
P072,2025-05-19,SKU_B,2491,16.8
P071,2025-03-10,SKU_A,1740,28.0
P071,2025-02-17,SKU_D,2092,29.63
P001,2025-03-03,SKU_C,2800,27.31
P099,2025-01-20,SKU_E,3012,21.91
P082,2025-01-27,SKU_B,2680,21.27
P004,2025-01-20,SKU_C,2342,18.14
P068,2025-02-17,SKU_E,2737,18.52
P081,2025-02-03,SKU_D,2065,26.82
P082,2025-05-05,SKU_B,2982,20.01
P004,2025-04-14,SKU_D,1889,16.65
P008,2025-02-03,SKU_B,1971,16.56
P079,2025-04-28,SKU_A,2825,27.95
P060,2025-02-24,SKU_B,3128,14.61
P067,2025-03-10,SKU_A,1535,21.78
P056,2025-01-27,SKU_B,3022,19.58
P084,2025-03-10,SKU_A,2423,29.93
P086,2025-02-10,SKU_A,2750,16.31
P054,2025-04-28,SKU_A,1750,31.31
P041,2025-03-24,SKU_B,1316,17.04
P091,2025-04-21,SKU_D,2340,19.37
P048,2025-03-31,SKU_D,2284,24.31
P030,2025-05-12,SKU_E,2247,27.56
P029,2025-04-28,SKU_E,2913,23.7
P099,2025-03-24,SKU_E,2713,22.85
P018,2025-02-03,SKU_C,3006,25.02
P019,2025-05-05,SKU_D,1900,16.94
P097,2025-01-27,SKU_A,2113,25.86
P047,2025-01-06,SKU_C,1480,16.74
P051,2025-01-06,SKU_E,2981,16.79
P030,2025-03-31,SKU_C,2029,29.66
P012,2025-04-28,SKU_C,2329,17.02
P038,2025-01-27,SKU_C,1647,20.77
P084,2025-02-24,SKU_B,2433,26.63
P019,2025-05-05,SKU_C,2466,17.44
P092,2025-03-10,SKU_D,2347,16.6
P039,2025-02-03,SKU_A,1274,15.39
P059,2025-04-07,SKU_C,2259,30.51
P096,2025-01-27,SKU_B,1687,23.75
P060,2025-04-07,SKU_C,3033,14.93
P092,2025-01-13,SKU_C,2604,16.54
P081,2025-01-20,SKU_D,1599,23.34
P026,2025-05-19,SKU_E,2185,17.81
P022,2025-04-14,SKU_C,1700,29.07
P042,2025-02-24,SKU_D,3107,25.62
P040,2025-01-27,SKU_D,1946,22.16
P032,2025-01-20,SKU_A,2755,20.03
P086,2025-04-14,SKU_A,2814,16.91
P059,2025-03-03,SKU_B,2368,30.37
P039,2025-03-10,SKU_A,1881,15.88
P057,2025-02-10,SKU_B,2952,20.5
P034,2025-01-06,SKU_C,2312,18.6
P067,2025-03-10,SKU_A,1535,21.78
P076,2025-03-31,SKU_A,1933,16.71
P085,2025-05-05,SKU_D,1354,30.22
P043,2025-05-12,SKU_D,2630,21.39
P062,2025-03-17,SKU_B,1577,23.25
P015,2025-05-05,SKU_B,1542,18.99
P029,2025-03-17,SKU_D,2616,23.43
P091,2025-04-07,SKU_A,2247,17.94
P086,2025-02-10,SKU_B,2316,18.72
P078,2025-01-20,SKU_D,1693,30.15
P032,2025-01-06,SKU_C,2301,19.49
P092,2025-02-17,SKU_B,2596,16.78
P002,2025-04-14,SKU_E,3129,27.13
P011,2025-02-17,SKU_D,2044,19.75
P039,2025-03-03,SKU_D,1835,15.55
P051,2025-03-24,SKU_E,2431,14.12
P050,2025-01-27,SKU_D,1970,29.64
P020,2025-04-28,SKU_D,1862,27.64
P095,2025-03-03,SKU_D,2463,22.04
P099,2025-01-13,SKU_D,2164,21.13
P034,2025-03-24,SKU_B,2416,17.57
P089,2025-04-07,SKU_E,2801,21.62
P015,2025-04-14,SKU_C,1666,19.35
P056,2025-03-03,SKU_B,2771,21.89
P051,2025-05-05,SKU_A,2106,15.83
P005,2025-01-06,SKU_C,2661,23.24
P065,2025-04-21,SKU_D,2186,27.23
P055,2025-04-21,SKU_E,1822,25.52
P087,2025-03-10,SKU_B,3046,21.74
P031,2025-02-24,SKU_B,1878,23.07
P052,2025-04-14,SKU_C,1983,27.7
P066,2025-02-24,SKU_D,1526,15.06
P083,2025-03-24,SKU_A,1905,25.29
P080,2025-01-06,SKU_B,1873,20.1
P007,2025-03-24,SKU_D,2788,21.76
P057,2025-02-03,SKU_E,2835,18.06
P052,2025-03-24,SKU_E,1644,26.97
P016,2025-05-12,SKU_A,2026,20.38
P013,2025-01-13,SKU_C,2239,22.81
P051,2025-03-17,SKU_C,2237,16.0
P056,2025-01-27,SKU_B,3022,19.58
P001,2025-04-14,SKU_B,2256,28.94
P099,2025-01-27,SKU_E,2973,21.43
P091,2025-05-19,SKU_A,2984,18.06
P035,2025-03-17,SKU_C,2568,21.32
P005,2025-04-07,SKU_C,2578,20.59
P078,2025-02-17,SKU_B,1617,28.66
P057,2025-05-12,SKU_E,3285,20.3
P017,2025-02-17,SKU_C,2038,20.48
P033,2025-02-03,SKU_C,2197,24.13
P056,2025-05-19,SKU_A,3069,18.78
P042,2025-05-12,SKU_B,3157,28.88
P035,2025-04-21,SKU_D,3077,18.85
P079,2025-04-28,SKU_E,2437,27.9
P014,2025-05-05,SKU_E,2696,23.28
P031,2025-05-12,SKU_E,1411,23.21
P051,2025-05-12,SKU_E,2187,17.17
P055,2025-01-13,SKU_A,1850,25.34
P001,2025-03-17,SKU_C,2735,27.11
P037,2025-01-27,SKU_A,2250,21.48
P090,2025-02-17,SKU_A,2105,23.95
P015,2025-05-12,SKU_B,1343,20.52
P086,2025-04-07,SKU_E,2584,17.13
P045,2025-02-24,SKU_D,2224,16.95
P100,2025-01-06,SKU_E,1696,22.72
P087,2025-01-06,SKU_E,2485,20.72
P079,2025-05-12,SKU_B,2628,27.89
P049,2025-05-12,SKU_B,3145,13.38
P058,2025-01-20,SKU_B,3040,19.05
P091,2025-02-17,SKU_A,2268,18.25
P045,2025-03-03,SKU_A,2933,18.09
P011,2025-01-27,SKU_D,1895,16.94
P044,2025-01-20,SKU_A,1461,15.02
P016,2025-03-10,SKU_C,1709,22.37
P054,2025-03-10,SKU_E,2009,29.91
P097,2025-04-07,SKU_A,1695,24.45
P003,2025-04-14,SKU_B,2862,19.37
P078,2025-02-10,SKU_A,1483,29.49
P066,2025-01-27,SKU_A,1558,14.84
P036,2025-01-27,SKU_E,2194,21.61
P012,2025-02-17,SKU_D,2984,16.01
P017,2025-02-24,SKU_E,2024,18.59
P048,2025-04-28,SKU_A,2477,26.0
P030,2025-02-03,SKU_D,2289,29.33
P027,2025-03-10,SKU_D,2580,24.12
P013,2025-03-17,SKU_E,2426,22.91
P040,2025-04-07,SKU_D,2446,19.64
P044,2025-02-24,SKU_B,2010,15.44
P035,2025-02-10,SKU_A,2194,18.79
P012,2025-01-13,SKU_B,2915,18.1
P081,2025-03-24,SKU_A,1605,26.7
P092,2025-03-24,SKU_E,2231,17.57
P083,2025-01-13,SKU_B,2022,29.06
P092,2025-02-03,SKU_A,2387,15.45
P091,2025-05-05,SKU_E,2596,20.56
P014,2025-04-07,SKU_D,1912,20.1
P093,2025-02-24,SKU_D,2556,22.65
P039,2025-04-14,SKU_E,1500,15.82
P071,2025-01-13,SKU_B,2076,29.52
P067,2025-04-21,SKU_C,1642,23.27
P023,2025-03-03,SKU_E,3258,28.39
P038,2025-03-31,SKU_A,1651,20.27
P073,2025-05-05,SKU_B,2822,18.72
P094,2025-03-31,SKU_C,1425,25.15
P035,2025-02-10,SKU_A,2194,18.79
P089,2025-03-03,SKU_D,2069,20.26
P047,2025-04-21,SKU_B,1551,16.16
P074,2025-03-31,SKU_A,3076,19.91
P049,2025-04-14,SKU_B,2912,16.53
P008,2025-04-21,SKU_A,2069,15.55
P055,2025-01-13,SKU_E,1612,26.59
P085,2025-03-24,SKU_A,1591,28.96
P084,2025-03-17,SKU_E,2727,26.64
P022,2025-04-28,SKU_A,2058,30.61
P084,2025-01-20,SKU_A,2049,28.69
P024,2025-01-06,SKU_C,3279,29.54
P002,2025-01-20,SKU_E,3033,28.45
P090,2025-02-03,SKU_E,1972,22.58
P089,2025-03-24,SKU_C,2813,18.79
P036,2025-03-31,SKU_B,2433,24.49
P044,2025-03-03,SKU_D,1539,16.74
P052,2025-02-03,SKU_B,1750,24.86
P085,2025-03-31,SKU_B,1646,31.07
P043,2025-01-20,SKU_C,2333,20.33
P093,2025-03-17,SKU_E,2730,22.66
P087,2025-01-06,SKU_D,2237,20.67
P079,2025-03-10,SKU_B,2481,28.03
P080,2025-02-24,SKU_C,2052,19.27
P093,2025-01-20,SKU_E,2599,22.42
P015,2025-02-24,SKU_E,1613,19.92
P003,2025-03-10,SKU_A,2554,18.53
P078,2025-05-12,SKU_E,1660,29.78
P062,2025-04-14,SKU_C,2080,23.62
P078,2025-05-12,SKU_E,1660,29.78
P042,2025-03-31,SKU_C,2789,26.66
P010,2025-02-10,SKU_D,3249,20.36
P052,2025-02-03,SKU_A,1930,24.9
P096,2025-04-28,SKU_C,1266,22.01
P040,2025-01-20,SKU_C,2668,19.95
P025,2025-01-20,SKU_C,2066,28.76
P063,2025-05-05,SKU_D,2390,30.61
P004,2025-04-28,SKU_B,2282,16.54
P044,2025-04-14,SKU_D,1913,14.72
P051,2025-01-27,SKU_E,2846,13.77
P075,2025-05-05,SKU_B,2020,13.67
P063,2025-01-20,SKU_C,2283,30.87
P075,2025-05-05,SKU_B,2020,13.67
P016,2025-04-07,SKU_D,2132,20.35
P073,2025-01-20,SKU_D,2337,19.9
P045,2025-03-17,SKU_E,2231,17.47
P030,2025-05-05,SKU_B,2712,30.44
P099,2025-04-28,SKU_B,3164,19.99
P029,2025-03-10,SKU_D,2660,25.63
P045,2025-03-24,SKU_B,3125,17.04
P048,2025-03-03,SKU_C,3061,23.37
P016,2025-04-07,SKU_C,2139,19.53
P066,2025-02-24,SKU_A,1482,15.77
P073,2025-05-19,SKU_A,2723,20.14
P056,2025-01-13,SKU_C,2443,20.61
P025,2025-03-31,SKU_A,1727,28.5
P017,2025-04-21,SKU_E,1914,20.54
P057,2025-05-19,SKU_D,3182,18.15
P018,2025-04-21,SKU_A,2630,25.16
P001,2025-03-31,SKU_B,2386,27.54
P038,2025-05-19,SKU_A,1699,21.47
P073,2025-03-31,SKU_E,3172,18.1
P098,2025-05-05,SKU_B,2046,17.92
P051,2025-04-14,SKU_E,2590,16.68
P049,2025-03-03,SKU_A,3469,17.15
P008,2025-05-19,SKU_D,2111,16.46
P064,2025-02-10,SKU_E,2612,18.23
P071,2025-05-05,SKU_E,1723,29.79
P036,2025-04-28,SKU_A,2327,22.01
P086,2025-02-17,SKU_B,3291,16.98
P070,2025-03-17,SKU_D,2957,20.0
P006,2025-01-06,SKU_E,2416,23.18
P073,2025-01-13,SKU_D,2510,21.32
P077,2025-04-21,SKU_D,2279,20.63
