Plant,Market,Cost
P003,M076,11.0
P003,M077,18.52
P003,M078,17.82
P003,M079,27.54
P003,M080,22.67
P003,M081,20.8
P003,M082,8.15
P003,M083,27.33
P003,M084,20.59
P003,M086,31.38
P003,M087,40.05
P003,M089,3.03
P003,M090,9.45
P003,M091,36.82
P003,M093,30.75
P003,M097,14.78
P003,M098,11.36
P003,M100,35.78
P004,M001,23.93
P004,M002,41.02
P004,M003,30.36
P004,M004,41.52
P004,M005,12.2
P004,M006,40.16
P004,M007,3.99
P004,M008,3.43
P004,M009,34.97
P004,M010,16.34
P004,M011,38.84
P004,M013,13.89
P004,M014,18.71
P004,M015,40.63
P004,M016,11.33
P004,M017,12.21
P004,M018,12.66
P004,M019,12.5
P004,M021,28.07
P004,M022,29.17
P004,M023,8.74
P004,M024,28.16
P004,M025,8.58
P004,M026,6.26
P004,M027,27.67
P004,M028,27.35
P004,M029,24.93
P004,M030,23.76
P004,M031,25.86
P004,M032,25.23
P004,M033,11.02
P004,M035,16.32
P004,M036,40.42
P004,M037,36.78
P004,M038,8.14
P004,M041,18.52
P004,M042,23.63
P004,M043,7.9
P004,M044,13.35
P004,M045,32.25
P004,M046,8.51
P004,M049,25.45
P004,M051,38.47
P004,M052,25.3
P004,M053,29.91
P004,M054,24.23
P004,M055,20.69
P004,M056,32.33
P004,M057,7.330000000000001
P004,M058,33.99
P004,M059,26.5
P004,M060,32.56
P004,M061,23.59
P004,M062,24.3
P004,M063,17.37
P004,M064,5.62
P004,M065,12.61
P004,M066,33.15
P004,M067,28.899999999999995
P004,M069,9.59
P004,M070,26.09
P004,M071,34.34
P004,M072,40.58
P004,M073,29.41
P004,M074,7.82
P004,M075,8.59
P004,M077,37.02
P004,M078,6.260000000000001
P004,M079,35.46
P004,M080,23.96
P004,M081,4.73
P004,M082,8.33
P004,M083,19.88
P004,M084,28.63
P004,M085,25.5
P004,M086,12.46
P004,M087,30.22
P004,M088,10.45
P004,M090,26.89
P004,M091,26.64
P004,M092,28.73
P004,M093,24.0
P004,M094,10.24
P004,M095,8.34
P004,M096,9.17
P004,M098,41.42
P004,M099,18.94
P004,M100,32.73
P005,M001,38.67
P005,M002,33.04
P005,M003,4.71
P005,M005,31.0
P005,M006,30.39
P005,M007,32.07
P005,M008,32.97
P005,M009,19.39
P005,M010,25.7
P005,M011,27.8
P005,M013,18.57
P005,M015,18.21
P005,M016,31.33
P005,M017,9.92
P005,M018,23.14
P005,M019,29.75
P005,M020,12.22
P005,M022,22.37
P005,M023,27.17
P005,M024,8.93
P005,M025,10.02
P005,M026,36.04
P005,M027,26.06
P005,M028,15.32
P005,M030,39.97
P005,M031,10.18
P005,M033,28.91
P005,M034,23.73
P005,M035,36.03
P005,M036,25.0
P005,M037,40.07
P005,M038,32.64
P005,M039,30.12
P005,M040,10.79
P005,M041,24.22
P005,M042,6.56
P005,M043,16.56
P005,M044,5.17
P005,M047,18.9
P005,M048,18.73
P005,M049,25.16
P005,M050,11.41
P005,M051,26.7
P005,M052,27.88
P005,M053,39.88
P005,M054,21.1
P005,M055,39.88
P005,M056,6.01
P005,M057,30.39
P005,M059,10.29
P005,M060,15.96
P005,M061,39.42
P005,M062,20.51
P005,M063,38.39
P005,M064,11.32
P005,M065,11.86
P005,M067,21.11
P005,M068,26.929999999999996
P005,M069,14.87
P005,M070,27.05
P005,M071,8.36
P005,M072,27.99
P005,M073,27.29
P005,M075,22.81
P005,M076,24.929999999999996
P005,M077,5.27
P005,M078,17.9
P005,M079,24.18
P005,M081,26.74
P005,M083,19.2
P005,M085,30.79
P005,M086,37.05
P005,M087,22.68
P005,M089,35.47
P005,M090,42.24
P005,M091,11.1
P005,M092,20.19
P005,M093,9.49
P005,M094,39.71
P005,M095,28.679999999999996
P005,M096,37.03
P005,M097,39.6
P005,M098,30.34
P005,M099,19.44
P005,M100,33.16
P006,M002,8.61
P006,M003,37.79
P006,M004,18.45
P006,M005,29.8
P006,M006,7.73
P006,M008,5.31
P006,M009,38.77
P006,M010,22.56
P006,M011,37.79
P006,M013,6.769999999999999
P006,M015,11.27
P006,M016,18.62
P006,M017,39.73
P006,M018,35.26
P006,M019,10.65
P006,M020,40.02
P006,M021,18.61
P006,M023,4.8
P006,M024,9.5
P006,M027,28.13
P006,M028,10.85
P006,M030,42.04
P006,M031,21.98
P006,M032,30.17
P006,M034,13.07
P006,M035,23.4
P006,M036,10.2
P006,M037,23.99
P006,M038,15.16
P006,M039,27.2
P006,M040,5.75
P006,M041,34.28
P006,M042,27.630000000000003
P006,M043,37.55
P006,M044,36.4
P006,M045,25.07
P006,M046,36.63
P006,M047,12.63
P006,M048,12.64
P006,M049,7.25
P006,M050,28.67
P006,M051,25.7
P006,M052,35.73
P006,M054,13.01
P006,M055,36.79
P006,M056,5.16
P006,M057,20.75
P006,M058,6.06
P006,M059,29.95
P006,M061,17.77
P006,M062,9.72
P006,M064,36.44
P006,M065,12.21
P006,M066,23.16
P006,M067,23.96
P006,M068,14.87
P006,M069,18.38
P006,M071,15.03
P006,M072,36.57
P006,M073,8.27
P006,M074,30.790000000000003
P006,M075,11.33
P006,M076,24.27
P006,M077,40.91
P006,M078,17.71
P006,M079,25.33
P006,M080,8.87
P006,M081,12.11
P006,M082,15.16
P006,M083,23.6
P006,M084,5.67
P006,M085,33.8
P006,M086,32.53
P006,M088,15.14
P006,M089,21.68
P006,M090,34.29
P006,M092,19.91
P006,M093,29.89
P006,M094,11.63
P006,M095,22.45
P006,M096,4.92
P006,M097,33.78
P006,M098,22.92
P006,M099,34.66
P006,M100,38.11
P007,M001,7.33
P007,M002,21.6
P007,M004,33.18
P007,M005,17.38
P007,M006,24.69
P007,M007,24.37
P007,M008,13.1
P007,M009,18.54
P007,M010,37.23
P007,M011,25.95
P007,M013,18.17
P007,M016,23.23
P007,M017,33.45
P007,M018,32.37
P007,M019,16.1
P007,M020,30.89
P007,M021,39.5
P007,M022,37.05
P007,M024,41.94
P007,M025,6.98
P007,M026,13.24
P007,M027,27.31
P007,M028,32.94
P007,M029,38.95
P007,M030,24.22
P007,M031,26.13
P007,M032,27.45
P007,M033,26.850000000000005
P007,M034,11.17
P007,M036,25.51
P007,M037,35.76
P007,M038,40.26
P007,M040,36.64
P007,M041,4.31
P007,M042,15.2
P007,M043,10.54
P007,M045,38.41
P007,M047,15.42
P007,M048,35.22
P007,M049,40.35
P007,M050,6.92
P007,M051,14.72
P007,M053,16.18
P007,M054,15.95
P007,M055,39.45
P007,M056,24.38
P007,M058,23.64
P007,M059,22.83
P007,M060,15.34
P007,M061,40.35
P007,M063,28.19
P007,M064,26.44
P007,M066,5.74
P007,M067,35.2
P007,M068,22.28
P007,M069,30.25
P007,M072,11.41
P007,M073,13.66
P007,M074,10.17
P007,M075,9.42
P007,M076,41.33
P007,M079,38.85
P007,M080,30.35
P007,M081,15.9
P007,M083,3.53
P007,M084,19.53
P007,M085,38.16
P007,M086,26.24
P007,M087,6.88
P007,M088,29.49
P007,M089,17.93
P007,M091,41.93
P007,M092,6.14
P007,M093,41.54
P007,M094,18.98
P007,M095,34.86
P007,M097,8.85
P007,M098,20.95
P007,M099,25.79
P007,M100,39.18
P008,M001,27.790000000000003
P008,M002,30.25
P008,M003,22.52
P008,M004,8.63
P008,M005,19.89
P008,M006,18.95
P008,M007,22.52
P008,M008,26.74
P008,M011,22.83
P008,M012,27.74
P008,M013,41.24
P008,M014,19.75
P008,M015,33.83
P008,M016,7.15
P008,M017,30.889999999999997
P008,M019,10.37
P008,M020,26.48
P008,M021,17.31
P008,M022,21.32
P008,M023,29.84
P008,M024,28.97
P008,M025,15.520000000000001
P008,M026,32.26
P008,M027,20.31
P008,M028,35.69
P008,M029,9.36
P008,M030,38.86
P008,M031,10.23
P008,M032,18.22
P008,M033,29.12
P008,M034,34.0
P008,M035,24.71
P008,M036,17.87
P008,M037,5.52
P008,M038,15.93
P008,M039,18.83
P008,M041,29.23
P008,M042,37.68
P008,M043,28.22
P008,M044,8.55
P008,M045,19.67
P008,M046,31.48
P008,M047,38.08
P008,M049,15.14
P008,M050,25.81
P008,M051,39.27
P008,M052,15.15
P008,M053,26.33
P008,M054,21.62
P008,M055,17.72
P008,M056,19.21
P008,M057,21.41
P008,M059,31.98
P008,M060,15.05
P008,M061,35.73
P008,M062,17.95
P008,M065,8.35
P008,M066,11.51
P008,M068,24.52
P008,M069,38.83
P008,M070,21.56
P008,M071,20.77
P008,M072,27.29
P008,M073,13.54
P008,M075,30.44
P008,M076,34.29
P008,M077,12.01
P008,M078,25.31
P008,M079,9.88
P008,M081,14.72
P008,M082,37.89
P008,M083,35.75
P008,M085,35.57
P008,M086,30.56
P008,M088,33.52
P008,M089,30.04
P008,M090,29.47
P008,M092,14.58
P008,M093,10.82
P008,M094,29.65
P008,M097,25.14
P008,M098,30.16
P008,M099,34.38
P008,M100,32.74
P009,M002,19.7
P009,M003,13.0
P009,M004,26.83
P009,M006,10.93
P009,M007,13.1
P009,M008,20.93
P009,M009,9.2
P009,M010,15.38
P009,M012,36.83
P009,M013,6.97
P009,M014,22.77
P009,M015,35.77
P009,M016,30.58
P009,M018,16.62
P009,M020,18.15
P009,M021,10.72
P009,M022,37.99
P009,M023,30.24
P009,M025,21.11
P009,M026,42.37
P009,M027,28.84
P009,M030,33.23
P009,M033,36.06
P009,M034,19.52
P009,M035,27.97
P009,M036,24.72
P009,M038,18.57
P009,M039,21.37
P009,M040,31.02
P009,M041,16.22
P009,M042,15.85
P009,M043,39.67
P009,M045,25.33
P009,M046,31.86
P009,M048,20.15
P009,M049,5.03
P009,M050,39.42
P009,M051,24.53
P009,M052,32.17
P009,M053,14.37
P009,M054,14.92
P009,M055,33.95
P009,M056,18.25
P009,M057,24.61
P009,M059,7.46
P009,M060,23.32
P009,M061,33.31
P009,M062,20.2
P009,M063,12.4
P009,M064,24.99
P009,M065,26.28
P009,M066,40.59
P009,M067,39.35
P009,M068,23.54
P009,M070,25.98
P009,M071,13.8
P009,M072,40.36
P009,M073,31.46
P009,M074,37.16
P009,M075,35.54
P009,M077,5.32
P009,M078,4.27
P009,M079,38.75
P009,M080,14.34
P009,M081,22.27
P009,M082,10.6
P009,M083,17.59
P009,M084,34.31
P009,M085,27.36
P009,M086,12.95
P009,M087,17.08
P009,M088,17.12
P009,M089,11.77
P009,M091,9.91
P009,M092,22.01
P009,M093,41.08
P009,M094,26.959999999999997
P009,M095,20.2
P009,M096,30.23
P009,M097,11.52
P009,M098,5.34
P009,M099,22.54
P009,M100,18.6
P010,M001,31.97
P010,M002,18.78
P010,M003,9.54
P010,M005,8.51
P010,M006,10.99
P010,M007,39.82
P010,M008,25.61
P010,M009,19.62
P010,M011,40.29
P010,M012,9.45
P010,M013,13.11
P010,M014,40.69
P010,M015,33.13
P010,M016,13.24
P010,M017,30.77
P010,M018,34.24
P010,M019,18.53
P010,M020,19.49
P010,M021,18.38
P010,M022,42.46
P010,M025,8.65
P010,M026,22.78
P010,M027,34.62
P010,M029,13.9
P010,M031,32.5
P010,M032,39.57
P010,M033,14.24
P010,M034,27.77
P010,M035,34.83
P010,M036,35.09
P010,M037,39.82
P010,M038,5.72
P010,M039,27.73
P010,M040,15.58
P010,M041,3.24
P010,M042,35.47
P010,M043,38.05
P010,M044,17.41
P010,M045,34.77
P010,M046,31.43
P010,M047,34.45
P010,M049,17.07
P010,M050,20.46
P010,M051,39.44
P010,M053,7.07
P010,M054,35.5
P010,M055,26.56
P010,M056,10.2
P010,M057,28.429999999999996
P010,M059,39.69
P010,M060,20.61
P010,M061,16.47
P010,M062,11.1
P010,M063,37.86
P010,M065,41.38
P010,M066,17.04
P010,M067,34.86
P010,M069,24.46
P010,M070,21.53
P010,M071,3.81
P010,M072,22.56
P010,M073,33.2
P010,M074,4.77
P010,M076,18.25
P010,M077,27.02
P010,M078,7.36
P010,M079,6.94
P010,M080,19.02
P010,M081,6.26
P010,M082,9.12
P010,M083,24.57
P010,M084,4.08
P010,M085,27.97
P010,M086,24.75
P010,M087,13.41
P010,M088,9.23
P010,M089,15.11
P010,M090,36.33
P010,M091,36.94
P010,M092,34.73
P010,M094,30.8
P010,M095,19.38
P010,M097,38.18
P010,M098,38.18
P010,M100,18.05
P011,M001,21.89
P011,M002,21.45
P011,M003,13.46
P011,M004,23.57
P011,M005,18.53
P011,M006,20.03
P011,M007,30.69
P011,M008,14.01
P011,M009,34.33
P011,M010,26.98
P011,M011,13.57
P011,M012,14.69
P011,M013,18.91
P011,M014,24.4
P011,M015,10.72
P011,M016,31.38
P011,M017,14.07
P011,M018,22.84
P011,M019,29.7
P011,M021,5.59
P011,M023,9.23
P011,M024,22.790000000000003
P011,M025,6.36
P011,M026,20.42
P011,M027,9.91
P011,M028,7.34
P011,M029,27.09
P011,M031,24.65
P011,M033,3.97
P011,M034,14.169999999999998
P011,M035,5.95
P011,M037,7.36
P011,M038,32.15
P011,M039,9.85
P011,M040,29.59
P011,M041,14.66
P011,M043,18.71
P011,M044,25.31
P011,M045,40.14
P011,M047,20.41
P011,M048,29.559999999999995
P011,M049,28.209999999999997
P011,M051,17.37
P011,M052,30.5
P011,M053,39.33
P011,M054,20.84
P011,M055,10.59
P011,M056,21.49
P011,M057,5.52
P011,M058,29.17
P011,M059,36.36
P011,M060,28.41
P011,M062,7.01
P011,M064,9.12
P011,M065,32.29
P011,M066,4.67
P011,M068,19.4
P011,M069,22.02
P011,M070,5.71
P011,M071,9.27
P011,M072,34.93
P011,M073,8.29
P011,M075,25.649999999999995
P011,M076,9.81
P011,M077,22.59
P011,M078,12.86
P011,M079,17.44
P011,M080,31.76
P011,M081,22.92
P011,M083,8.6
P011,M084,27.46
P011,M085,9.29
P011,M086,29.53
P011,M087,23.65
P011,M088,33.0
P011,M090,11.12
P011,M091,31.75
P011,M092,3.59
P011,M093,30.49
P011,M094,37.86
P011,M095,9.3
P011,M096,12.72
P011,M098,27.17
P011,M100,20.22
P012,M002,36.71
P012,M003,40.61
P012,M004,14.71
P012,M005,31.14
P012,M006,31.72
P012,M008,8.04
P012,M010,38.61
P012,M011,35.88
P012,M012,20.12
P012,M013,40.44
P012,M014,30.78
P012,M015,21.8
P012,M016,17.94
P012,M017,39.93
P012,M018,29.73
P012,M019,36.15
P012,M020,30.1
P012,M021,15.71
P012,M022,5.19
P012,M023,13.92
P012,M024,14.270000000000001
P012,M025,16.52
P012,M027,30.88
P012,M028,41.24
P012,M030,11.2
P012,M031,16.81
P012,M032,12.59
P012,M033,27.53
P012,M034,6.17
P012,M035,29.4
P012,M036,11.3
P012,M037,29.35
P012,M038,30.38
P012,M039,26.100000000000005
P012,M040,34.76
P012,M041,38.05
P012,M042,40.29
P012,M044,26.91
P012,M047,32.1
P012,M048,41.41
P012,M049,19.06
P012,M050,30.859999999999996
P012,M051,35.65
P012,M052,7.05
P012,M053,4.96
P012,M054,20.52
P012,M055,28.77
P012,M056,5.99
P012,M058,35.88
P012,M060,33.37
P012,M061,15.75
P012,M062,37.76
P012,M063,9.36
P012,M064,10.35
P012,M066,12.95
P012,M068,22.46
P012,M069,10.25
P012,M070,36.91
P012,M071,19.8
P012,M072,34.84
P012,M073,8.79
P012,M074,22.61
P012,M075,11.86
P012,M076,37.11
P012,M077,15.28
P012,M078,30.42
P012,M079,16.26
P012,M080,37.84
P012,M081,24.76
P012,M082,9.62
P012,M083,18.59
P012,M084,6.08
P012,M085,26.8
P012,M087,42.14
P012,M089,21.2
P012,M090,13.01
P012,M091,16.1
P012,M092,28.23
P012,M093,23.34
P012,M094,25.45
P012,M095,35.31
P012,M096,23.41
P012,M098,28.399999999999995
P012,M099,34.23
P012,M100,39.44
P013,M001,4.83
P013,M002,9.71
P013,M003,21.67
P013,M004,11.19
P013,M005,18.34
P013,M006,14.73
P013,M008,32.31
P013,M009,41.46
P013,M010,25.21
P013,M011,29.87
P013,M012,30.19
P013,M013,14.72
P013,M014,15.09
P013,M015,29.570000000000004
P013,M017,29.26
P013,M018,7.07
P013,M019,30.77
P013,M020,20.47
P013,M021,9.41
P013,M022,39.42
P013,M023,19.16
P013,M024,36.68
P013,M025,14.86
P013,M026,24.73
P013,M027,5.23
P013,M028,34.3
P013,M029,41.18
P013,M030,14.770000000000001
P013,M031,27.49
P013,M032,21.43
P013,M034,12.24
P013,M035,34.32
P013,M036,16.17
P013,M037,25.18
P013,M038,26.350000000000005
P013,M039,11.14
P013,M040,9.55
P013,M041,6.79
P013,M042,26.95
P013,M043,10.35
P013,M044,21.25
P013,M045,37.36
P013,M046,14.91
P013,M047,24.54
P013,M048,21.04
P013,M049,19.65
P013,M050,23.85
P013,M051,20.59
P013,M052,7.23
P013,M053,13.34
P013,M054,30.23
P013,M055,24.76
P013,M057,34.29
P013,M058,34.32
P013,M059,28.77
P013,M060,24.31
P013,M061,28.31
P013,M062,18.08
P013,M063,35.17
P013,M064,22.5
P013,M066,32.28
P013,M067,36.26
P013,M068,15.92
P013,M069,40.89
P013,M070,29.27
P013,M071,6.93
P013,M072,26.92
P013,M073,14.449999999999998
P013,M074,7.55
P013,M075,39.49
P013,M076,34.98
P013,M077,18.38
P013,M079,17.53
P013,M080,11.47
P013,M081,19.92
P013,M082,41.56
P013,M083,13.39
P013,M085,13.6
P013,M086,16.9
P013,M087,14.23
P013,M088,37.98
P013,M090,8.13
P013,M091,10.04
P013,M092,9.09
P013,M093,12.99
P013,M094,23.75
P013,M096,30.7
P013,M097,37.54
P013,M098,6.15
P013,M099,30.15
P013,M100,13.73
P014,M001,31.48
P014,M002,19.86
P014,M003,21.8
P014,M004,20.01
P014,M005,5.14
P014,M006,17.4
P014,M007,36.58
P014,M009,21.14
P014,M010,26.570000000000004
P014,M011,23.41
P014,M012,21.1
P014,M013,41.53
P014,M014,16.21
P014,M015,15.99
P014,M016,20.96
P014,M017,12.05
P014,M018,31.89
P014,M020,10.85
P014,M021,7.55
P014,M022,16.07
P014,M023,28.58
P014,M024,25.93
P014,M025,25.99
P014,M026,19.56
P014,M027,24.93
P014,M028,31.94
P014,M029,12.86
P014,M030,21.02
P014,M031,32.94
P014,M032,23.6
P014,M033,19.81
P014,M034,26.34
P014,M035,13.779999999999998
P014,M036,16.87
P014,M037,7.27
P014,M038,38.89
P014,M039,35.67
P014,M041,8.72
P014,M042,12.71
P014,M043,11.55
P014,M044,4.77
P014,M045,32.07
P014,M046,26.16
P014,M047,32.52
P014,M048,26.32
P014,M049,15.479999999999999
P014,M051,15.73
P014,M052,17.71
P014,M053,16.76
P014,M054,31.339999999999996
P014,M055,16.43
P014,M056,23.44
P014,M057,20.87
P014,M058,26.63
P014,M059,14.88
P014,M060,11.51
P014,M061,8.23
P014,M062,7.84
P014,M063,10.78
P014,M064,28.54
P014,M065,19.91
P014,M067,40.66
P014,M068,30.57
P014,M070,20.38
P014,M072,32.23
P014,M073,33.05
P014,M074,30.73
P014,M075,36.64
P014,M076,40.42
P014,M078,38.81
P014,M079,5.14
P014,M080,10.56
P014,M081,12.49
P014,M082,8.77
P014,M083,28.55
P014,M084,7.44
P014,M085,9.28
P014,M086,22.47
P014,M087,19.86
P014,M088,12.33
P014,M089,13.49
P014,M091,11.39
P014,M092,37.01
P014,M093,14.67
P014,M094,35.42
P014,M095,34.83
P014,M096,25.78
P014,M097,7.4
P014,M098,17.36
P014,M099,36.41
P014,M100,14.85
P015,M001,30.27
P015,M002,28.83
P015,M003,17.67
P015,M004,37.99
P015,M005,21.69
P015,M006,10.05
P015,M007,28.4
P015,M008,35.59
P015,M011,39.98
P015,M012,41.25
P015,M013,21.31
P015,M014,20.11
P015,M015,22.63
P015,M016,32.0
P015,M017,25.24
P015,M018,30.61
P015,M019,34.79
P015,M020,19.69
P015,M022,10.33
P015,M023,32.65
P015,M025,29.31
P015,M026,21.76
P015,M027,38.06
P015,M028,7.28
P015,M030,9.6
P015,M032,34.05
P015,M033,32.44
P015,M034,25.24
P015,M035,41.33
P015,M036,34.41
P015,M037,19.57
P015,M038,18.76
P015,M039,30.35
P015,M040,8.36
P015,M041,16.18
P015,M042,24.57
P015,M044,34.33
P015,M045,31.83
P015,M046,7.71
P015,M047,30.05
P015,M048,17.77
P015,M049,20.65
P015,M050,29.74
P015,M052,15.58
P015,M053,11.94
P015,M054,18.57
P015,M055,22.01
P015,M056,23.63
P015,M057,31.72
P015,M058,4.35
P015,M061,23.26
P015,M062,6.72
P015,M063,15.07
P015,M065,14.57
P015,M066,23.72
P015,M068,3.32
P015,M069,13.449999999999998
P015,M070,40.96
P015,M071,31.42
P015,M074,33.6
P015,M075,21.07
P015,M078,11.19
P015,M079,17.42
P015,M080,32.12
P015,M081,11.64
P015,M082,5.71
P015,M084,3.65
P015,M085,4.73
P015,M086,35.66
P015,M087,40.99
P015,M088,10.89
P015,M089,40.18
P015,M090,39.46
P015,M091,31.69
P015,M092,24.679999999999996
P015,M093,20.56
P015,M095,10.19
P015,M096,12.6
P015,M097,27.28
P015,M098,7.72
P015,M099,16.03
P015,M100,28.2
P016,M001,13.48
P016,M002,29.5
P016,M003,39.12
P016,M004,39.78
P016,M005,15.29
P016,M006,3.74
P016,M007,14.68
P016,M008,29.66
P016,M009,30.47
P016,M010,12.67
P016,M011,12.15
P016,M012,27.67
P016,M013,37.19
P016,M014,16.1
P016,M015,36.32
P016,M016,15.46
P016,M017,5.45
P016,M018,24.79
P016,M019,32.96
P016,M020,18.21
P016,M021,12.73
P016,M022,40.97
P016,M023,19.97
P016,M024,18.82
P016,M026,36.6
P016,M027,39.74
P016,M028,23.76
P016,M029,31.16
P016,M030,34.65
P016,M031,29.39
P016,M032,33.52
P016,M033,17.56
P016,M034,10.77
P016,M035,26.1
P016,M036,31.72
P016,M037,12.29
P016,M038,39.67
P016,M040,40.63
P016,M041,36.56
P016,M043,22.38
P016,M044,16.39
P016,M045,19.55
P016,M046,28.01
P016,M047,21.93
P016,M048,12.38
P016,M049,31.27
P016,M050,23.06
P016,M051,32.97
P016,M052,24.79
P016,M053,18.08
P016,M054,25.94
P016,M055,32.33
P016,M056,35.94
P016,M057,6.46
P016,M058,11.59
P016,M059,21.62
P016,M060,14.42
P016,M061,23.66
P016,M062,25.67
P016,M063,39.74
P016,M064,3.65
P016,M065,22.03
P016,M066,19.14
P016,M067,29.880000000000003
P016,M069,14.33
P016,M071,29.93
P016,M072,24.83
P016,M073,19.73
P016,M074,4.72
P016,M076,8.98
P016,M077,40.51
P016,M078,14.29
P016,M079,24.78
P016,M080,31.399999999999995
P016,M082,39.13
P016,M083,2.77
P016,M084,24.209999999999997
P016,M086,31.41
P016,M087,36.09
P016,M088,32.37
P016,M090,7.82
P016,M091,22.91
P016,M092,11.57
P016,M093,7.02
P016,M095,3.56
P016,M096,29.31
P016,M097,32.87
P016,M098,30.64
P016,M099,25.79
P016,M100,26.61
P017,M001,21.12
P017,M002,36.57
P017,M003,6.86
P017,M004,23.3
P017,M005,5.24
P017,M007,40.55
P017,M008,31.65
P017,M009,5.19
P017,M012,38.2
P017,M014,39.73
P017,M015,13.81
P017,M016,37.54
P017,M018,18.54
